feature,importance_0_x,importance_0_y,importance_1,importance_2,importance_3,importance
P_2,677.0,677.0,770.0,738.0,686.0,709.6
D_43,420.0,420.0,439.0,429.0,411.0,423.8
S_3,422.0,422.0,425.0,403.0,412.0,416.8
B_4,371.0,371.0,450.0,410.0,384.0,397.2
D_121,398.0,398.0,413.0,392.0,361.0,392.4
D_46,383.0,383.0,455.0,375.0,364.0,392.0
D_47,368.0,368.0,417.0,399.0,372.0,384.8
B_3,379.0,379.0,399.0,341.0,335.0,366.6
P_3,322.0,322.0,417.0,386.0,352.0,359.8
D_48,344.0,344.0,350.0,366.0,309.0,342.6
D_45,321.0,321.0,372.0,366.0,298.0,335.6
D_39,315.0,315.0,330.0,330.0,321.0,322.2
B_17,300.0,300.0,351.0,334.0,278.0,312.6
D_61,289.0,289.0,325.0,313.0,311.0,305.4
B_5,290.0,290.0,347.0,320.0,276.0,304.6
S_7,291.0,291.0,320.0,310.0,279.0,298.2
D_55,280.0,280.0,313.0,308.0,299.0,296.0
S_9,278.0,278.0,292.0,305.0,262.0,283.0
B_2,278.0,278.0,302.0,275.0,262.0,279.0
R_27,248.0,248.0,311.0,312.0,276.0,279.0
S_12,277.0,277.0,289.0,282.0,263.0,277.6
D_52,263.0,263.0,303.0,279.0,257.0,273.0
S_27,256.0,256.0,284.0,291.0,262.0,269.8
R_1,257.0,257.0,277.0,251.0,266.0,261.6
S_25,235.0,235.0,278.0,308.0,245.0,260.2
B_9,258.0,258.0,277.0,294.0,205.0,258.4
D_62,239.0,239.0,294.0,283.0,220.0,255.0
D_69,237.0,237.0,282.0,236.0,271.0,252.6
B_13,246.0,246.0,276.0,215.0,254.0,247.4
D_71,254.0,254.0,237.0,255.0,215.0,243.0
S_5,219.0,219.0,274.0,264.0,238.0,242.8
B_28,231.0,231.0,240.0,280.0,217.0,239.8
S_26,224.0,224.0,271.0,217.0,249.0,237.0
S_23,245.0,245.0,247.0,242.0,202.0,236.2
D_60,234.0,234.0,230.0,243.0,238.0,235.8
